,name,text,created_at
0,船橋利実,"10/25(月)11:45頃
河野太郎 党広報本部長ふたたび札幌へ‼️
#河野太郎 
#ふなはしとしみつ
#船橋利実 
#北海道1区 #自民党
#命を守り暮らしを取り戻す 
#衆院選2021 #総選挙2021 
#北海道 #札幌市… https://t.co/mWWMTkN22m",2021-10-24 15:04:23+00:00
1,船橋利実,"明日、10/25(月)15時～
麻生太郎副総裁が札幌に‼️
#麻生太郎
#ふなはしとしみつ
#船橋利実 
#北海道1区 #自民党
#命を守り暮らしを取り戻す 
#衆院選2021 #総選挙2021 
#北海道 #札幌市… https://t.co/hVChaoqBDc",2021-10-24 15:00:40+00:00
2,船橋利実,"橋本高橋はるみ参議院議員、集まってくれた皆様、ありがとうございました😊
#船橋利実 #北海道1区 #自民党 #ふなはしとしみつ 
#命を守り暮らしを取り戻す 
#衆院選2021 #総選挙2021 
#選挙に行こう #期日前投票… https://t.co/SsBRW7YiXU",2021-10-24 14:56:23+00:00
3,船橋利実,"朝の挨拶
#ふなはしとしみつ
#船橋利実 #中川賢一
#北海道1区 #自民党
#命を守り暮らしを取り戻す 
#衆議院選挙 #総選挙2021 https://t.co/Qk7QIJg7Q6 https://t.co/PSWi1bbcEt",2021-10-24 14:39:08+00:00
4,船橋利実,"少し遅くなりましたが、今朝は中川先生のご挨拶でスタートしました！
#ふなはしとしみつ
#船橋利実 
#北海道1区 #自民党
#命を守り暮らしを取り戻す 
#衆院選2021 #総選挙2021 
#中川賢一 
#北海道 #札幌市… https://t.co/lTa8pho4Pq",2021-10-24 14:34:04+00:00
5,船橋利実,"間もなく始まります！まだ若干席がありますので、お近くにいらっしゃる方は是非、お越しください⛵️
#橋本聖子 #高橋はるみ #船橋利実 #北海道1区 #自民党
#命を守り暮らしを取り戻す 
#衆院選2021 #総選挙2021… https://t.co/yqgxOWHUvq",2021-10-24 13:10:55+00:00
6,船橋利実,"昨日、かわいいお客さんが選対本部に来てくれました⛵️元気をたくさんもらいました！ありがとう😊
#船橋利実 #北海道1区 #自民党
#命を守り暮らしを取り戻す 
#衆院選2021 #総選挙2021 
#北海道 #札幌市… https://t.co/TwFYmCu0bZ",2021-10-24 13:01:01+00:00
7,船橋利実,"大通公園西11丁目にて公明党街頭演説に、参加⛵️たくさんの方々が集まってくださいました❗️ありがとうございました😊
#船橋利実 #北海道1区 #自民党 #公明党
#命を守り暮らしを取り戻す 
#衆院選2021 #総選挙2021… https://t.co/ZB6lL4WnAs",2021-10-24 11:38:07+00:00
8,船橋利実,"イオン藻岩店前、公明党街頭演説に参加しました⛵️ありがとうございました😊中央区・西区でも宜しくお願い致します！
#船橋利実 #北海道1区 #自民党 #公明党
#命を守り暮らしを取り戻す 
#衆院選2021 #総選挙2021… https://t.co/mJUml8ose4",2021-10-24 10:29:27+00:00
9,船橋利実,RT @Akira_Amari: 今回の私の選挙ポスター、左上のQRコードから私の｢断固たる決意｣の動画に飛べるようになっています。地元でポスターを見かけた方、是非試してみてくださいね。 https://t.co/C862zv85fR,2021-10-24 09:40:24+00:00
