議員名,政党,都道府県,選挙区,twitterユーザー名
船橋利実,自民,北海道,1,t_funahashi1020
道下大樹,立憲,北海道,1,michishitadaiki
小林悟,維新,北海道,1,なし
高橋祐介,自民,北海道,2,2kuTakahashi
松木謙公,立憲,北海道,2,kenkou64865187
山崎泉,維新,北海道,2,izumiyamazaki75
高木宏壽,自民,北海道,3,takagi_hirohisa
荒井優,立憲,北海道,3,araiyutaka
小和田康文,維新,北海道,3,kujira0827
中村裕之,自民,北海道,4,nakamurahiro3
大築紅葉,立憲,北海道,4,kurehaotsuki
和田義明,自民,北海道,5,ywada_hokkaido5
池田真紀,立憲,北海道,5,ikemakihonki
橋本美香,共産,北海道,5,hashimika1026
大津伸太郎,無所属,北海道,5,saboten50110837
東国幹,自民,北海道,6,なし
西川将人,立憲,北海道,6,なし
齊藤忠行,NHK,北海道,6,GoooonYukiyuki
伊東良孝,自民,北海道,7,なし
篠田奈保子,立憲,北海道,7,yorisoibengoshi
石川明美,共産,北海道,7,なし
前田一男,自民,北海道,8,DonanMaeda
逢坂誠二,立憲,北海道,8,seiji_ohsaka
堀井学,自民,北海道,9,horiimanabu
山岡達丸,立憲,北海道,9,tatumaru1979
神谷裕,立憲,北海道,10,kamiyahokkaido
稲津久,公明,北海道,10,InatsuHisashi
中川郁子,自民,北海道,11,nakagawayuko
石川香織,立憲,北海道,11,IshikawaKaori11
武部新,自民,北海道,12,takebearata
川原田英世,立憲,北海道,12,kawaharadaeisei
菅原誠,共産,北海道,12,sugawara_makoto
田所嘉德,自民,茨城,1,tadokoroyoshin
福島伸享,無所属,茨城,1,fukuchan_ib
額賀福志郎,自民,茨城,2,なし
藤田幸久,立憲,茨城,2,yfujitaDPJ
葉梨康弘,自民,茨城,3,874ibaraki
梶岡博樹,立憲,茨城,3,kajiokahiroki
岸野智康,維新,茨城,3,KishinoTomoyasu
梶山弘志,自民,茨城,4,kajiyamahiroshi
大内久美子,共産,茨城,4,なし
武藤優子,維新,茨城,4,YukoMuto_japan
石川昭政,自民,茨城,5,iakimasa1
飯田美弥子,共産,茨城,5,なし
浅野哲,国民,茨城,5,Asano__Satoshi
田村弘,無所属,茨城,5,amuhiro583
国光文乃,自民,茨城,6,ayano_kunimitsu
青山大人,立憲,茨城,6,aoyamayamato
永岡桂子,自民,茨城,7,keiko_nagaoka
中村喜四郎,立憲,茨城,7,KishiroNakamura
水梨伸晃,維新,茨城,7,MizunasiNobuaki
船田元,自民,栃木,1,なし
渡辺典喜,立憲,栃木,1,n_watanabe214
青木弘,共産,栃木,1,なし
柏倉祐司,維新,栃木,1,Kashiwakura_Y
五十嵐清,自民,栃木,2,なし
福田昭夫,立憲,栃木,2,なし
簗和生,自民,栃木,3,なし
伊賀央,立憲,栃木,3,igahiroshi
佐藤勉,自民,栃木,4,atotsutomu310
藤岡隆雄,立憲,栃木,4,FujiokaTakao
茂木敏充,自民,栃木,5,moteging
岡村恵子,共産,栃木,5,yJLS8HQDpkBMakR
中曽根康隆,自民,群馬,1,yasutaka_nksn
店橋世津子,共産,群馬,1,setuko2525de15
宮崎岳志,維新,群馬,1,MIYAZAKI_Takesh
斉藤敦子,無所属,群馬,1,saitoh_atsuko
井野俊郎,自民,群馬,2,OlHtpHMOe6pxi7i
堀越啓仁,立憲,群馬,2,horikoshikeinin
石関貴史,無所属,群馬,2,wareigai
笹川博義,自民,群馬,3,なし
長谷川嘉一,立憲,群馬,3,HasegawaKaichi
説田健二,NHK,群馬,3,driver_syoha
福田達夫,自民,群馬,4,Fukuda19670305
角倉邦良,立憲,群馬,4,kadokura1433
小渕優子,自民,群馬,5,なし
伊藤達也,共産,群馬,5,Tatsuya_jcp
村井英樹,自民,埼玉,1,muraihideki
武正公一,立憲,埼玉,1,takemasakoichi
吉村豪介,維新,埼玉,1,なし
佐藤真実,無所属,埼玉,1,satomanami_1
新藤義孝,自民,埼玉,2,shindo_y
奥田智子,共産,埼玉,2,なし
高橋英明,維新,埼玉,2,hide24004517
黄川田仁志,自民,埼玉,3,kikawadahitoshi
山川百合子,立憲,埼玉,3,yamakawa_yuriko
河合悠祐,NHK,埼玉,3,migikatakawai
