議員名,政党,都道府県,選挙区,twitterユーザー名
大岡敏孝,自民,滋賀,1,なし
斎藤アレックス,国民,滋賀,1,AlexSaito2019
田島一成,立憲,滋賀,2,tajimaissei
徳永久志,立憲,滋賀,4,1097naga3119
日高千穂,NHK,滋賀,1,c_hidaka
上野賢一郎,自民,滋賀,2,Ueno_Kenichiro
武村展英,自民,滋賀,3,nobu_takemura
佐藤耕平,共産,滋賀,3,なし
直山仁,維新,滋賀,3,なし
高井崇志,れいわ,滋賀,3,t_takai
小寺裕雄,自民,滋賀,4,なし
勝目康,自民,京都,1,なし
穀田恵二,共産,京都,1,kokutakeiji
堀場幸子,維新,京都,1,なし
繁本護,自民,京都,2,なし
地坂拓晃,共産,京都,2,chitak21
前原誠司,国民,京都,2,Maehara2016
中辰哉,れいわ,京都,2,なし
木村弥生,自民,京都,3,kimura841
泉健太,立憲,京都,3,office50824963
井上博明,維新,京都,3,なし
田中英之,自民,京都,4,Tanaka_Hide
吉田幸一,共産,京都,4,koichiyoshida4
北神圭朗,無所属,京都,4,kitagamikeiro
本田太郎,自民,京都,5,kyoto_honda
山本和嘉子,立憲,京都,5,wakako718
山内健,共産,京都,5,kyamauchi2
井上一徳,無所属,京都,5,kazunori_0731
清水鴻一郎,自民,京都,6,なし
山井和則,立憲,京都,6,yamanoikazunori
中嶋秀樹,維新,京都,6,なし
大西宏幸,自民,大阪,1,onishi_hiroyuki
村上賀厚,立憲,大阪,1,
竹内祥倫,共産,大阪,1,
井上英孝,維新,大阪,1,hidetaka_i
左藤章,自民,大阪,2,10akirasato
尾辻かな子,立憲,大阪,2,otsujikanako
守島正,維新,大阪,2,t_morishima0715
萩原仁,立憲,大阪,3,hagiharahitoshi
佐藤茂樹,公明,大阪,3,shigeki3468
渡部結,共産,大阪,3,yuiwatanabe_osk
中条栄太郎,無所属,大阪,3,ryu_no_kisi
中山泰秀,自民,大阪,4,iloveyatchan
吉田治,立憲,大阪,4,y0shida0samu
清水忠史,共産,大阪,4,tadashishimizu
美延映夫,維新,大阪,4,minobeteruo
国重徹,公明,大阪,5,ToruKunishige
宮本岳志,共産,大阪,5,ohsakamiyamoto
大石晃子,れいわ,大阪,5,なし
籠池諄子,無所属,大阪,5,kagoike2u2u
村上史好,立憲,大阪,6,fumiyoshi610
伊佐進一,公明,大阪,6,isashinichi
星健太郎,無所属,大阪,6,hoshi__kentaro
渡嘉敷奈緒美,自民,大阪,7,naomi_tokashiki
乃木涼介,立憲,大阪,7,nogiryosuke
川添健真,共産,大阪,7,jcp_tatsuma
奥下剛光,維新,大阪,7,okutake10
西川弘城,れいわ,大阪,7,なし
高麗啓一郎,自民,大阪,8,なし
松井博史,立憲,大阪,8,matsuirikken
漆間譲司,維新,大阪,8,なし
原田憲治,自民,大阪,9,harada_kenji
足立康史,維新,大阪,9,adachiyasushi
大椿裕子,社民,大阪,9,なし
磯部和哉,無所属,大阪,9,3V5rmgL7IgCkk9W
大隈和英,自民,大阪,10,Kazu_Okuma
辻元清美,立憲,大阪,10,tsujimotokiyomi
池下卓,維新,大阪,10,iketaku_0410
佐藤ゆかり,自民,大阪,11,SatoYukari
平野博文,立憲,大阪,11,HiranoHirofumi
中司宏,維新,大阪,11,nakatsuka_h
北川晋平,自民,大阪,12,kitakawashinpei
宇都宮優子,立憲,大阪,12,なし
松尾正利,共産,大阪,12,なし
藤田文武,維新,大阪,12,fumi_fuji
宗清皇一,自民,大阪,13,MunekiyoOffice
神野淳一,共産,大阪,13,11_kamino
岩谷良平,維新,大阪,13,Iwatani_Ryohei
長尾敬,自民,大阪,14,takashinagao
小松久,共産,大阪,14,komachisa
青柳仁士,維新,大阪,14,aoyagi_h
加納陽之助,自民,大阪,15,なし
為仁史,共産,大阪,15,なし
浦野靖人,維新,大阪,15,uranoyasuto
森山浩行,立憲,大阪,16,MORIYAMAhiro
北側一雄,公明,大阪,16,kitagawa_kazuo
西脇京子,NHK,大阪,16,なし
岡下昌平,自民,大阪,17,Shohei_Okashita
森流星,共産,大阪,17,bVaJ42evkqM8YQi
馬場伸幸,維新,大阪,17,baba_ishin
神谷昇,自民,大阪,18,noboru_kamitani
川戸康嗣,立憲,大阪,18,humandream1
望月亮佑,共産,大阪,18,なし
遠藤敬,維新,大阪,18,なし
谷川とむ,自民,大阪,19,Tom_Tanigawa
長安豊,立憲,大阪,19,nagayasu2
北村みき,共産,大阪,19,0620_appletree
伊東信久,維新,大阪,19,nobuhisaito11
盛山正仁,自民,兵庫,1,なし
井坂信彦,立憲,兵庫,1,isakanobuhiko
一谷勇一郎,維新,兵庫,1,y_ichitani
木原功仁哉,無所属,兵庫,1,kiharakuniya
高橋進吾,無所属,兵庫,1,shingogokago225
舩川治郎,立憲,兵庫,2,なし
赤羽一嘉,公明,兵庫,2,AKBhyogo2ku
宮野鶴生,共産,兵庫,2,なし
関芳弘,自民,兵庫,3,sekiyoshihiro
赤田勝紀,共産,兵庫,3,なし
和田有一朗,維新,兵庫,3,なし
佐藤泰樹,国民,兵庫,3,satoyasuki7
藤井比早之,自民,兵庫,4,FujiiHisayuki
今泉真緒,立憲,兵庫,4,maoimzm
赤木正幸,維新,兵庫,4,akagimasayuki
谷公一,自民,兵庫,5,なし
梶原康弘,立憲,兵庫,5,なし
遠藤良太,維新,兵庫,5,endoryota36
大串正樹,自民,兵庫,6,Ogushi_Masaki
桜井周,立憲,兵庫,6,sakurai_shu
市村浩一郎,維新,兵庫,6,なし
山田賢司,自民,兵庫,7,Ymd_Knj
安田真理,立憲,兵庫,7,YasudaM719
三木圭恵,維新,兵庫,7,keemiki
中野洋昌,公明,兵庫,8,Hiro_NAKANO_
小村潤,共産,兵庫,8,なし
辻恵,れいわ,兵庫,8,ganbarutsuji
西村康稔,自民,兵庫,9,nishy03
福原由加利,共産,兵庫,9,なし
渡海紀三朗,自民,兵庫,10,tokaikisaburo
隠樹圭子,立憲,兵庫,10,なし
掘井健智,維新,兵庫,10,tQvstkwt7SF3ETJ
松本剛明,自民,兵庫,11,なし
太田清幸,共産,兵庫,11,ootakiyo
住吉寛紀,維新,兵庫,11,なし
山口壯,自民,兵庫,12,244yamaguchi
酒井孝典,立憲,兵庫,12,なし
池畑浩太朗,維新,兵庫,12,VGZ20ydBf5ouj4c
小林茂樹,自民,奈良,1,ShigekiNara
馬淵澄夫,立憲,奈良,1,なし
前川清成,維新,奈良,1,k_maekawa
高市早苗,自民,奈良,2,takaichi_sanae
猪奥美里,立憲,奈良,2,なし
宮本次郎,共産,奈良,2,miyamotojirou
西川正克,共産,奈良,3,なし
加藤孝,NHK,奈良,3,なし
高見省次,無所属,奈良,3,takamisyoji
田野瀬太道,無所属,奈良,3,なし
門博文,自民,和歌山,1,kado_wakayama
岸本周平,国民,和歌山,1,shuheikishimoto
石田真敏,自民,和歌山,2,ishidamasatoshi
藤井幹雄,立憲,和歌山,2,なし
所順子,維新,和歌山,2,なし
遠西愛美,NHK,和歌山,2,なし
二階俊博,自民,和歌山,3,なし
畑野良弘,共産,和歌山,3,3ku_hatano
本間奈々,諸派,和歌山,3,nana0504
根来英樹,無所属,和歌山,3,なし
後藤田正純,自民,徳島,1,MasazumiGotoda
吉田知代,維新,徳島,1,なし
佐藤行俊,無所属,徳島,1,なし
仁木博文,無所属,徳島,1,なし
山口俊一,自民,徳島,2,なし
中野真由美,立憲,徳島,2,なし
久保孝之,共産,徳島,2,なし
平井卓也,自民,香川,1,hiratakuchan
小川淳也,立憲,香川,1,junyaog
町川順子,維新,香川,1,なし
瀬戸隆一,自民,香川,2,setotakakazu
玉木雄一郎,国民,香川,2,tamakiyuichiro
大野敬太郎,自民,香川,3,keitaro_ohno
尾崎淳一郎,共産,香川,3,なし
塩崎彰久,自民,愛媛,1,AkihisaShiozaki
友近聡朗,立憲,愛媛,1,super_tomochika
村上誠一郎,自民,愛媛,2,なし
