,text,created_at
0,"RT @uimontyo: 失礼ですが、匂いが分かるレベルの米が流通する事はあり得ません。
もしあったら食べたら救急車で運ばれるか即死でしょう。
匂いに関するものは移り香等別の要因か気のせいです。
手が荒れるのは別の原因と思われますので皮膚科の受診をおすすめします。",2021-10-16 10:07:34+00:00
1,@kenmcalinn 世界一周航路ww,2021-10-16 10:01:57+00:00
2,RT @uimontyo: 気のせいです。,2021-10-16 10:00:30+00:00
3,@kenmcalinn 段々遠くなってくるww,2021-10-16 09:48:18+00:00
4,@SGdatasc おー、実はフィッシュヘッドカレー食べたことがないので、それはめちゃくちゃ興味あります！,2021-10-16 09:48:03+00:00
5,@hirominishisa おめでとうございます！,2021-10-16 09:12:55+00:00
6,@SGdatasc 行きたいです。。。（ちなみに僕はBoat Quayの内陸側にある場末感のある中華海鮮店のチリクラブが好きです）,2021-10-16 00:49:11+00:00
7,RT @shikishinobu: 最近なぜか「福島ってこういうのどこにでもあるんでしょ？」って言われるんですが、無いです。国見SAだけです。 https://t.co/qrYohFBdNC,2021-10-16 00:42:48+00:00
8,"RT @pomemememememe: 「バットで殴られたような激しい頭痛」という教科書的な訴えを、実際のくも膜下出血の患者さんで聞いたことはない。バットで殴られた人じゃないとなかなかこの表現は出て来ないんじゃないかな。
ちなみにバットで殴られて頭蓋骨が凹んだ人は2人診察したこ…",2021-10-16 00:42:34+00:00
9,@KMKTo なので何とかして「振幅」を制御したいんですけどね。。。,2021-10-16 00:14:20+00:00
10,@na_mroon5 おめでとうございます、試験受かってください,2021-10-16 00:13:27+00:00
11,RT @ReutersJapan: コラム：円安の弊害と不都合な事実、競争力と賃金で後退する日本 https://t.co/hIf4LYTyST,2021-10-16 00:13:02+00:00
12,一応、このご時世なのでワクチン接種済みの方を優先させていただきます、悪しからず,2021-10-16 00:10:42+00:00
13,前に住んでた賃貸マンションの上階から昼夜問わず「ボローン…」とギターの弦を弾く音がしていて「ああ誰かギター弾く人がいるのかな」と思ってたんだけど、その後たまたま上階のどの部屋にも入居者がいない時でも同じ音がし続けるのに気付いて「こ… https://t.co/96ytji91N8,2021-10-15 23:44:07+00:00
14,RT @mikumo_hk: 202号室から深夜になると歌声が聞こえるというクレームをいただいたけれど、202号室はただいま空室という事案。,2021-10-15 23:40:21+00:00
15,@KMKTo あー、普通にそれが良さそうですね,2021-10-15 23:35:05+00:00
16,RT @b4takashi: 「校長先生が最初に食べて毒見している」って聞いたことはあったけど、実際に役に立っているとは / “校長が事前の確認で異常感じ提供中止…学校給食から『大腸菌』他校で異常なく何者かが異物混入した可能性も（東海テレビ） - Yahoo!ニュース” htt…,2021-10-15 23:32:41+00:00
17,@ykamit 凄いもの見つけられましたね,2021-10-15 23:27:08+00:00
18,@issei_sato 鬼上司ですね,2021-10-15 23:25:26+00:00
19,@kis 博多遠いです。。。そのうち博多ラーメン食べに飛ぼうかと思ってますのでその際はぜひぜひ,2021-10-15 23:23:12+00:00
20,@issei_sato 大変な正論ですね,2021-10-15 23:07:23+00:00
21,10/24（日）の夕方から銀座・日比谷・丸の内界隈で一緒に飲める人探してます、空いてる人いませんか？（※人選は自分が恣意的に決めます、悪しからず）,2021-10-15 23:03:05+00:00
22,@Cur4E7Iox5S0mOR 年収8000万円貰ってるのでは,2021-10-15 22:58:57+00:00
23,RT @Poisoner_Batta: 高校生くらいの子が「絵は才能！天才には追い付けない」という価値観を持つのは分かる。人生を十数年しか走っていない状態では初速が全てと思うのも無理はない。しかし三十路も過ぎてくると無理して心身を病んだり死ぬ天才もポコポコ出てくるので「才能の前…,2021-10-15 22:51:21+00:00
24,@Cur4E7Iox5S0mOR サンマの刺身食べられないのか,2021-10-15 22:50:33+00:00
25,RT @atamotonu: https://t.co/pPJmCm9xMQ,2021-10-15 22:50:06+00:00
26,"RT @jessmendoza: So good 😂⚾️♥️
 https://t.co/pHfKWQ44i6",2021-10-15 22:40:51+00:00
27,「人類は皆ただのジェネラリストでしかない」という前提でもあるんでしょうか。確かにジェネラリストをやるしか能のない人材を一度リセットすることは有益かもしれませんが、プロフェッショナルを無闇にリセットする必要はないと思うのです https://t.co/x5YytWghAd,2021-10-15 21:34:25+00:00
28,@Ogalisa 5年半以上が経ちましたねー。,2021-10-15 21:31:07+00:00
29,@Keni_Orange プロフェッショナリズムの否定に見えますね。,2021-10-15 21:30:48+00:00
30,"@dancerj カーネルとはこれですか？
https://t.co/NSCpTcipWV",2021-10-15 21:29:18+00:00
31,@Ogalisa おめでとうございます！🎉,2021-10-15 21:28:07+00:00
32,@Cur4E7Iox5S0mOR 年収8000万円だよね？？？,2021-10-15 21:24:42+00:00
33,久方ぶりの会食でした https://t.co/d1nj7EHvDf,2021-10-15 21:19:01+00:00
34,ちょっと用があって丸の内の北側に来てるんだけど、夕方ゆえ会社帰りの人がめちゃくちゃ多くて皆さん出勤してるんだなぁと思った,2021-10-15 18:11:54+00:00
35,RT @dantyutei: これ、冗談抜きで、今のうちに億単位の対策で知多半島から根絶しないと、大変なことになりますよ。北海道では毎年10前後しか感染していないそうですが、それはいろいろな日常が制限されたうえでのことです（川の水が飲めないなど）。,2021-10-15 17:42:39+00:00
36,どうやったらStanで収束するように二階差分トレンドの絶対値を季節調整の分散の事前分布として与えられるかが分からない間に、トレンドの推定値が負に突っ込んでしまってゐた https://t.co/igGQPwSPZS,2021-10-15 17:37:04+00:00
37,"RT @cornelia_tk: スウェーデン人の #留学生 です。8月25日にまた日本に引っ越す予定がありました。すかし、入国出来ないので人生は止まってしまって、夢もだんだんなくなります。。。現在はとても苦しくて大変なので、もう日本に入らせて下さい！お願いいたします🥺🤲
#日…",2021-10-15 17:34:33+00:00
38,RT @nezumigatakusan: 凄まじい火の玉ストレートを見ました… https://t.co/4F7iGbttP2,2021-10-15 17:33:47+00:00
39,RT @oraorade59: 何度も言ってるんですけど、保育士さんにはどんなに支えられているかわからないので、冗談抜きで月50万ぐらいもらっていてほしいんですよ…,2021-10-15 17:33:17+00:00
40,東京都の医療リソースの残り容量に関する各指標は画像の通り。都の重症者数が39(-1)名とついに昨秋の小康状態の基準にまで下がった。全国レベルでも現在患者数がついに1万を切った https://t.co/RMLBeyKJj6,2021-10-15 17:01:22+00:00
41,2020年11月1日以降の年代別推移 https://t.co/qOM0PyMoPn,2021-10-15 17:01:21+00:00
42,"本日の東京都の報告数は57名、二階差分トレンドの直近3日間の推定値は12.1, -12.8, -38.3、7日周期成分の推定値は112, -118, -428, -103, 156, 222, 165、直近3日間の「加速度」は-2… https://t.co/cklLIyZUzY",2021-10-15 17:01:20+00:00
43,RT @RodinaTP: エキノコックスの深刻さとして「処理していない水が飲めなくなる」がもちろん重要なんだけれど、「そこらへんのイヌやネコをモフれなくなるぞ！子供とかマジ危険！」と言ったほうが多くの人に「深刻だ」と思ってもらえるのではないだろうか。,2021-10-15 16:31:47+00:00
44,RT @girlmeetsNG: アメリカ人同僚と空港で搭乗を待ってた時、近くのアメリカ人同士が些細な事から殴り合いの喧嘩を始めたので同僚に「何であんな些細な事で喧嘩すんだろね？」と聞いたら「簡単さ。今、彼らはお互い銃を持ってないと分かってるからだよhaha」と言われ、笑えない…,2021-10-15 16:30:06+00:00
45,RT @thelaststriker: UI改修どころか、バナーや画像をちょっと動かそうとするだけで、いろんな部署の許可、上司の承認取らないといけないとか地獄のような話聞いたことがあるんで、もうどうしようもない気がしている。,2021-10-15 13:50:22+00:00
46,にしてもつくづく思うが、みずほのwebバンキングって本当に前近代的だな。ぶっちゃけ、住宅ローンのために口座を持っている地元の地銀のwebバンキングの方がまだ時代の先を行っている感がある,2021-10-15 13:41:20+00:00
47,みずほから別の銀行に新規開設した口座への預金を移行させた。みずほには消えても惜しくない程度の金額しか残していない,2021-10-15 13:39:28+00:00
48,RT @Ichiro_leadoff: 先週、山本太郎さんへの抗議のメールを複数私にくださった大阪府の女性（60代）、テンプレながら「私は山本太郎ではありません」と折り返したところ「ではいつから山本一郎なのか返答しなさい」との質問を受け頭を抱えている,2021-10-15 13:27:25+00:00
49,RT @gudetama_sanrio: これから次冬が来るんだっけ夏が来るんだっけ https://t.co/6LAILWvZlR,2021-10-15 13:02:48+00:00
50,"RT @usagyuuunP: いっしょに手をゴシゴシあらおー👏♪♪♪
あわあわ、ゴシゴシーーーー☁️☁️☁️!!!!!

#世界手洗いの日 ＃うさぎゅーん #うがい #手洗い #感染予防 #マスク https://t.co/4ZuBPboC38",2021-10-15 13:02:39+00:00
51,@sawawww 素人考えですが、段々と人々の間で免疫記憶が増強され続けていって、発症後致死率が0.1%?を割ったところ（インフルエンザと同等）で収束＆マスク義務撤廃になるのかなと思ってます。,2021-10-15 11:02:16+00:00
52,RT @Hiroshi99857672: 昔交渉の授業で教授から留学生に向けられた「米国は交渉が文化基盤だ。ダメ元で責任者を探し相手を怒らせない態度でネゴれ。君らの国で無理な場合もここは交渉余地がある」との言葉を忠実に実践したら、学費免除を倍増できたり飛行機に遅れたのに搭乗でき…,2021-10-15 10:26:36+00:00
53,@tmaehara LAのサンタモニカにあるIt'Sugarというキャラクターショップに鎮座してました,2021-10-15 01:51:46+00:00
54,@tmaehara もしかしてこういうやつですか？ https://t.co/Vy5CfyTVJz,2021-10-15 01:48:58+00:00
55,@tmaehara ちなみにFBオリジナルのPusheenグッズとかあります？,2021-10-15 01:28:40+00:00
56,@tmaehara マジっすか,2021-10-15 01:23:15+00:00
57,@tmaehara 嫁さんがPusheen好きなもので、ちょっとびっくりしましたw,2021-10-15 01:12:33+00:00
58,@tmaehara Pusheen hoodieですか？？？,2021-10-15 01:10:24+00:00
59,RT @Pusheen: The most important part of baking? Sharing with your friends! 💖 #HelloKittyXPusheen @HelloKitty https://t.co/IKa57Xl9yZ https:…,2021-10-15 01:05:02+00:00
60,@Yuryu @natsumi_k なるほど。。。納得の喩えですね,2021-10-15 00:43:35+00:00
61,@natsumi_k ワシントンDCだって「コロンビア特別区」ですし,2021-10-15 00:35:02+00:00
62,個人的な意見を書くと、上司の悪口を陰でコソコソ言うくらいなら正面切って上司本人に批判をぶつけた方が良いし、それが出来ない職場ならさっさと部署を移るか、退職して違う職場に行くかした方が良い気がする。むしろ合わない上司に我慢して勤めるとか凄いなぁとしか思わないし、自分には出来ない芸当,2021-10-15 00:14:41+00:00
63,ただ、上司の悪口ばかり言う人間を「『自分は上の人間を批判できるくらい凄いんだぞ（優秀なんだぞ）』とアピールしたいだけ」「ある程度能力があったが出世できなかった人間は得てして上に反抗的な立場をとるようになり、社内で存在感をアピールする」と分析しているのは前々から感じていた通りだった,2021-10-14 23:50:47+00:00
64,どんな会社にも必ずと言っていいほど上司や同僚の悪口ばかり朝から晩まで垂れ流し続ける人間というのはいるものだけど、本質的には「それでも仕事ができるか否か」が重要だということなのだろう。職場のモラルハザードになり得ることを考えれば、できれば悪口ばかり言う人間でない方が良いのだろうが,2021-10-14 23:46:44+00:00
65,"良い記事だった。陰でコソコソ上司の悪口ばかり言う優秀な部下を「あくまでもあれはガス抜きに過ぎない」と割り切りあえて目を瞑って起用し続けるというのは、これぞマネジメントの妙とも言うべきものなのだろう
https://t.co/2GvV3o4UJy",2021-10-14 23:42:50+00:00
66,"@komi_edtr_1230 サブジなんじゃないか説もあるけど、一応こういうもの
https://t.co/u5WAKNs8Sb",2021-10-14 23:35:04+00:00
67,RT @ykamit: 90年台から2000年台にもてはやされた「人間を理解するためのXXXX学」が、「まだ新しい学問だから」「in its infancyだから」とか言って自己欺瞞を続けているうちに、大人になれず世の中から見放されていく,2021-10-14 23:33:27+00:00
68,"RT @NicholasRennick: 本当に、こういう「あなたの英語は実は恥ずかしい」という本はどうして売れるでしょう？

外国人として、ノンネイティブが英語を間違えても恥ずかしいと思った事がない。第二言語だと完璧に喋られないのは当たり前。

結局日本人の英語を一番厳しく評…",2021-10-14 23:02:36+00:00
69,"RT @NicholasRennick: 日本人が自分の英語能力を否定すると、外国人として不思議に思います。私から見ると、皆さんの英語能力はとても高い。

英語圏では、このレベルの文章を第二言語で読める人は相当少ない。 https://t.co/eG7Ct9I7J7",2021-10-14 23:02:25+00:00
70,@natsumi_k コロンビアどこにでもある印象がありますw,2021-10-14 22:58:16+00:00
71,RT @atamotonu: https://t.co/bGkHSudM7A,2021-10-14 22:55:48+00:00
72,RT @atamotonu: https://t.co/HRgbcpDUlP,2021-10-14 22:55:38+00:00
73,RT @atamotonu: https://t.co/l0acbcWjJg,2021-10-14 22:55:34+00:00
74,@komi_edtr_1230 ポリヤル（トーレン：つまり野菜炒め）なのだよこれは,2021-10-14 22:14:40+00:00
75,エビとホタテのケララ式シーフードカレー。のつもりなんだけど、たっぷりココナッツミルクを使ったのでマドラス風っぽさがあって濃厚だった。生カレーリーフはそろそろ今季はおしまいかな https://t.co/eZfFDRuR1r,2021-10-14 21:27:31+00:00
76,@tmaehara 国や街によりますが、インド料理屋も現地語（英語）メニューとヒンディー語メニューとに分かれてることがあって、ヒンディー語メニューが読めると隠れた美味い名物料理に出会えたりしますね,2021-10-14 21:25:49+00:00
77,東京都のコロナ4指標（正規化＆季節調整済み）、重症者数がようやく昨秋11月初頭の水準に近付くまで下がってきたことが分かる。死亡者数の追加報告数も落ち着いてきた。陽性者数もさることながら軽症＆中等症者数の下がり方が凄まじい（11月1… https://t.co/MdqoESH2wN,2021-10-14 20:59:31+00:00
78,RT @gudetama_sanrio: この人めれんげらしいんだけど白身泡立てたんかな？ https://t.co/Mmp4xRA97N @MERENGEOFFICIAL https://t.co/GoOFXNSVlV,2021-10-14 19:59:22+00:00
79,「これからのデータサイエンス人材の要件とデータサイエンスの実際」というテーマで、主に大学院在学中や大学教員の方々向けに講演します。現職で手掛けた最近の事例についてもお話する予定ですので、興味がおありの皆様よろしければ是非ご参加くだ… https://t.co/F69uOtI0nm,2021-10-14 19:57:47+00:00
80,"RT @Nospare_Inc: 豪華ゲストをお二方お招きし、無料オンラインセミナーを開催します！ぜひ皆さま奮ってご参加ください。詳細はリンク先をご覧ください。

「データサイエンスの現場と学術連携・人材育成の課題」

日時：10月20日(水) 16:30-18:00

ゲスト…",2021-10-14 19:54:16+00:00
81,なかなか下がり切らず足踏みしていた東京都のECMO装着数・人工呼吸器装着数とも、ようやく順調に下がり始めた感がある。医療リソースに余裕が出来るまで、あともう一息 https://t.co/Jw8sYEStIj,2021-10-14 18:11:28+00:00
