,name
安倍晋三,9497
枝野幸男,4820
河野太郎,3782
伊藤達也,3706
逢坂誠二,3459
阿部知子,3417
柴山昌彦,3344
宮本徹,3333
串田誠一,3267
中谷一馬,3266
森田俊和,3203
高木錬太郎,3136
菅義偉,3136
長妻昭,3112
早稲田夕季,3108
畑野君枝,3089
青柳陽一郎,3089
小宮山泰子,3087
堀越啓仁,3076
落合貴之,3075
岡本三成,3072
牧原秀樹,3062
山崎誠,3047
平沢勝栄,3039
山花郁夫,3039
牧島かれん,3037
若宮健嗣,3037
星野剛士,3031
木原誠二,3030
松本洋平,3024
松島みどり,3011
海江田万里,3006
田中良生,3000
義家弘介,3000
香西克介,3000
小林鷹之,3000
長島昭久,3000
谷川智行,3000
石原伸晃,3000
小倉將信,3000
柿沢未途,3000
新藤義孝,3000
中津川博郷,3000
角倉邦良,2999
大津伸太郎,2999
薗浦健太郎,2999
山本朋広,2999
浅野史子,2999
高橋英明,2999
櫛渕万里,2998
渡辺典喜,2998
大久保令子,2997
齊藤忠行,2997
藤田幸久,2997
吉田晴美,2997
浅川義治,2996
三谷英弘,2996
中西健治,2996
梶岡博樹,2996
西之原修斗,2995
池内沙織,2995
大西恒樹,2995
浅尾慶一郎,2995
杉村慎治,2994
多ケ谷亮,2994
篠田奈保子,2994
木村哲也,2994
井戸正枝,2994
木佐木忠晶,2993
竹本秀之,2992
沢田良,2991
田中健,2991
浅野克彦,2989
宮崎岳志,2988
秋本真利,2988
坂井学,2987
小野泰輔,2987
菅直人,2987
荒井優,2984
田嶋要,2983
木内孝胤,2978
小和田康文,2977
込山洋,2977
武正公一,2976
北條智彦,2973
沢田真吾,2971
中野英幸,2971
桜井誠,2971
山岸一生,2965
藤村晃子,2964
太田彩花,2953
平将明,2942
説田健二,2942
田中和徳,2912
市来伴子,2901
太栄志,2883
国光文乃,2867
小田原潔,2866
店橋世津子,2847
中島克仁,2810
松尾明弘,2794
中谷真一,2787
鈴木隼人,2754
江田憲司,2741
阿部司,2734
前田順一郎,2719
円より子,2712
野中厚,2650
石川香織,2625
岡島一正,2619
黄川田仁志,2587
浅野哲,2566
松木謙公,2554
篠原豪,2524
